Name,Release date,SP GFLOPS,Device type
Pentium 4 (Willamette),01/07/2001,3.2,CPU
GeForce FX 5800,27/01/2003,19.47,GPU
Pentium 4 (Prescott),01/06/2004,5.6,CPU
Xeon 5140,01/06/2006,24,CPU
Core 2 Quad Q6700,01/01/2007,85.44,CPU
Core 2 Quad Q9650,01/01/2009,96,CPU
Core i7-960,20/09/2009,102.4,CPU
Core i7-980,26/06/2011,158.4,CPU
Xeon E5-2690,06/03/2012,371.2,CPU
Xeon E5-2697 v2,10/09/2013,518.4,CPU
Xeon E5-2699 v3,08/09/2014,1324.8,CPU
Xeon E5-2699 v4,01/04/2016,1548.8,CPU
GeForce 6800 Ultra,28/06/2004,54,GPU
GeForce 7800 GTX,22/06/2005,165,GPU
GeForce 8800 GTX,08/11/2006,518,GPU
GeForce GTX 280,16/06/2008,933.12,GPU
GeForce GTX 480,26/03/2010,1345,GPU
GeForce GTX 580,09/11/2010,1581.056,GPU
GeForce GTX 680,22/03/2012,3090.432,GPU
GeForce GTX TITAN,19/02/2013,4499.712,GPU
GeForce GTX 780 TI,07/11/2013,5046,GPU
GTX TITAN X (Maxwell),17/03/2015,6144,GPU
GTX TITAN X (Pascal),21/06/2016,10157,GPU
Tesla V100,21/06/2017,15700,GPU
TITAN RTX,18/12/2018,16132.32,GPU
GeForce RTX 3090,24/09/2020,35680,GPU
Xeon Platinum 8280M,02/04/2019,4480,CPU
Xeon E7-8894 v4,01/01/2017,1843.2,CPU
